time_s cwnd_bytes
3.09601 63758
3.09768 63790
3.10183 63822
3.10268 63854
3.10684 63886
3.10768 63918
3.11184 63950
3.11268 63982
3.11684 64014
3.11851 64046
3.11935 64078
3.12351 64110
3.12435 64142
3.12851 64174
3.12935 64206
3.13351 64238
3.13518 64270
3.13851 64302
3.14018 64334
3.14351 64366
3.14518 64398
3.14602 64430
3.15018 64462
3.15267 64494
3.15518 64526
3.15768 64558
3.16019 64590
3.16268 64622
3.16519 64654
3.16685 64686
3.16935 64718
3.17186 64750
3.17435 64782
3.17686 64814
3.17935 64846
3.18186 64878
3.18435 64910
3.36721 64942
3.37088 64974
3.37291 65006
3.37823 65038
3.38026 65070
3.38228 65102
3.38513 65134
3.38716 65166
3.39165 65198
3.39368 65230
3.39735 65262
3.39938 65294
3.4014 65326
3.40425 65358
3.40628 65390
3.41078 65422
3.4128 65454
3.41483 65486
3.41768 65518
3.42053 65550
3.42338 65581
3.42623 65612
3.4299 65643
3.43193 65674
3.43395 65705
3.4368 65736
3.43965 65767
3.4425 65798
3.44535 65829
3.44738 65860
3.45105 65891
3.45308 65922
3.45675 65953
3.4596 65984
3.46327 66015
3.46447 66046
3.4665 66077
3.46935 66108
3.47137 66139
3.47505 66170
3.47707 66201
3.4791 66232
3.48195 66263
3.48397 66294
3.6541 66325
3.65777 66356
3.66062 66387
3.66594 66418
3.66797 66449
3.67082 66480
3.67367 66511
3.67652 66542
3.67854 66573
3.68139 66604
3.68424 66635
3.68791 66666
3.69076 66697
3.69279 66728
3.69646 66759
3.69849 66790
3.70299 66821
3.70584 66852
3.70786 66883
3.71153 66914
3.71438 66945
3.71806 66976
3.72091 67007
3.7254 67038
3.72743 67069
3.73028 67100
3.73313 67131
3.7368 67162
3.73965 67193
3.7425 67224
3.74535 67255
3.74903 67286
3.75105 67317
3.75472 67348
3.75757 67379
3.76125 67410
3.76327 67441
3.7653 67472
3.76815 67503
3.77017 67534
3.77385 67565
3.77587 67596
3.7779 67627
3.78075 67658
3.78277 67688
3.94054 67718
3.94503 67748
3.94788 67778
3.95403 67808
3.95605 67838
3.9589 67868
3.96258 67898
3.96543 67928
3.96828 67958
3.97113 67988
3.9748 68018
3.976 68048
3.97885 68078
3.98252 68108
3.98455 68138
3.98905 68168
3.99107 68198
3.99557 68228
3.99924 68258
4.00127 68288
4.00577 68318
4.00862 68348
4.01312 68378
4.01596 68408
4.02129 68438
4.02331 68468
4.02699 68498
4.02984 68528
4.03433 68558
4.03718 68588
4.04003 68618
4.04288 68648
4.04656 68678
4.04858 68708
4.05225 68738
4.0551 68768
4.05878 68798
4.0608 68828
4.06283 68858
4.06568 68888
4.0677 68918
4.07138 68948
4.0734 68978
4.07543 69008
4.07828 69038
4.0803 69068
4.22735 69098
4.23185 69128
4.23552 69158
4.24167 69188
4.24452 69218
4.24737 69248
4.25104 69278
4.25472 69308
4.25757 69338
4.26124 69368
4.26491 69398
4.26694 69428
4.26979 69458
4.27181 69488
4.27466 69518
4.27669 69548
4.28201 69578
4.28404 69608
4.28853 69638
4.29303 69668
4.29506 69698
4.30038 69728
4.30323 69758
4.30855 69788
4.3114 69818
4.31755 69848
4.31957 69878
4.32324 69908
4.32609 69937
4.33059 69966
4.33427 69995
4.33712 70024
4.33996 70053
4.34364 70082
4.34566 70111
4.34934 70140
4.35219 70169
4.35586 70198
4.35789 70227
4.35991 70256
4.36276 70285
4.36479 70314
4.36846 70343
4.37049 70372
4.37251 70401
4.37619 70430
4.37821 70459
4.51372 70488
4.51905 70517
4.52272 70546
4.52969 70575
4.53254 70604
4.53621 70633
4.53989 70662
4.54356 70691
4.54723 70720
4.55091 70749
4.5554 70778
4.55743 70807
4.5611 70836
4.56313 70865
4.5668 70894
4.568 70923
4.57003 70952
4.57535 70981
4.57738 71010
4.58188 71039
4.5872 71068
4.58922 71097
4.59537 71126
4.59822 71155
4.60436 71184
4.60721 71213
4.61336 71242
4.61538 71271
4.61906 71300
4.62273 71329
4.6264 71358
4.63008 71387
4.63293 71416
4.6366 71445
4.64028 71474
4.6423 71503
4.64597 71532
4.64882 71561
4.6525 71590
4.65452 71619
4.65655 71648
4.6594 71677
4.66142 71706
4.6651 71735
4.66712 71764
4.66915 71793
4.67282 71822
4.67567 71851
4.79883 71880
4.80415 71909
4.80864 71938
4.81561 71967
4.81846 71996
4.82296 72025
4.82746 72054
4.83113 72083
4.83563 72112
4.84013 72141
4.84463 72170
4.84748 72199
4.85197 72228
4.85482 72257
4.8585 72286
4.86052 72315
4.86255 72343
4.86457 72371
4.86907 72399
4.8711 72427
4.87559 72455
4.88174 72483
4.88376 72511
4.89073 72539
4.89358 72567
4.89973 72595
4.90258 72623
4.90872 72651
4.91075 72679
4.91442 72707
4.9181 72735
4.92177 72763
4.92544 72791
4.92829 72819
4.93279 72847
4.93647 72875
4.93849 72903
4.94216 72931
4.94501 72959
4.94869 72987
4.95071 73015
4.95274 73043
4.95559 73071
4.95761 73099
4.96129 73127
4.96331 73155
4.96534 73183
4.96901 73211
4.97269 73239
5.08513 73267
5.09127 73295
5.09577 73323
5.10356 73351
5.10641 73379
5.11174 73407
5.11623 73435
5.12073 73463
5.12523 73491
5.12973 73519
5.13505 73547
5.1379 73575
5.14322 73603
5.14607 73631
5.15057 73659
5.15259 73687
5.15544 73715
5.15747 73743
5.16279 73771
5.16481 73799
5.16684 73827
5.16969 73855
5.17666 73883
5.17868 73911
5.18565 73939
5.1885 73967
5.19465 73995
5.1975 74023
5.20364 74051
5.20567 74079
5.20934 74107
5.21302 74135
5.21752 74163
5.22119 74191
5.22404 74219
5.22854 74247
5.23221 74275
5.23424 74303
5.23791 74331
5.24076 74359
5.24443 74387
5.24646 74415
5.24848 74443
5.25133 74471
5.25418 74499
5.25786 74527
5.25988 74555
5.26191 74583
5.26558 74611
5.26925 74639
5.37181 74667
5.37795 74695
5.38328 74723
5.39107 74751
5.39474 74779
5.40006 74807
5.40539 74835
5.40988 74863
5.4152 74891
5.4197 74918
5.42502 74945
5.4287 74972
5.43402 74999
5.43769 75026
5.44219 75053
5.44504 75080
5.44789 75107
5.45074 75134
5.45606 75161
5.45891 75188
5.46094 75215
5.46379 75242
5.46499 75269
5.47113 75296
5.47316 75323
5.48013 75350
5.48298 75377
5.48912 75404
5.49197 75431
5.49812 75458
5.50097 75485
5.50464 75512
5.50832 75539
5.51281 75566
5.51649 75593
5.51934 75620
5.52383 75647
5.52751 75674
5.53036 75701
5.53403 75728
5.53688 75755
5.54055 75782
5.54258 75809
5.5446 75836
5.54745 75863
5.5503 75890
5.55398 75917
5.556 75944
5.55803 75971
5.5617 75998
5.56538 76025
5.65804 76052
5.66501 76079
5.67033 76106
5.67895 76133
5.68262 76160
5.68877 76187
5.69409 76214
5.69941 76241
5.70473 76268
5.71006 76295
5.71538 76322
5.71905 76349
5.7252 76376
5.72887 76403
5.73419 76430
5.73704 76457
5.74072 76484
5.74356 76511
5.74889 76538
5.75256 76565
5.75459 76592
5.75744 76619
5.75946 76646
5.76561 76673
5.76681 76700
5.76883 76727
5.77498 76754
5.77783 76781
5.78397 76808
5.78682 76835
5.79297 76862
5.79582 76889
5.79949 76916
5.80317 76943
5.80766 76970
5.81134 76997
5.81501 77024
5.81951 77051
5.82318 77078
5.82603 77105
5.82971 77132
5.83256 77159
5.83623 77186
5.83825 77213
5.8411 77240
5.84395 77267
5.8468 77294
5.85048 77321
5.8525 77348
5.85453 77375
5.8582 77402
5.86188 77429
5.94465 77456
5.95162 77483
5.95777 77510
5.96639 77537
5.97088 77564
5.97703 77591
5.98317 77618
5.9885 77645
5.99464 77672
5.99996 77698
6.00611 77724
6.00978 77750
6.01593 77776
6.02043 77802
6.02575 77828
6.02942 77854
6.03309 77880
6.03594 77906
6.04127 77932
6.04576 77958
6.04779 77984
6.05064 78010
6.05349 78036
6.05963 78062
6.06084 78088
6.06368 78114
6.06901 78140
6.07103 78166
6.07306 78192
6.0792 78218
6.08205 78244
6.0882 78270
6.09105 78296
6.09472 78322
6.0984 78348
6.10289 78374
6.10657 78400
6.11024 78426
6.11474 78452
6.11841 78478
6.12208 78504
6.12576 78530
6.12861 78556
6.13228 78582
6.13431 78608
6.13716 78634
6.14001 78660
6.14286 78686
6.14653 78712
6.14856 78738
6.1514 78764
6.15425 78790
6.15793 78816
6.23247 78842
6.23861 78868
6.24476 78894
6.2542 78920
6.2587 78946
6.26567 78972
6.27181 78998
6.27796 79024
6.2841 79050
6.29025 79076
6.29639 79102
6.30089 79128
6.30704 79154
6.31153 79180
6.31768 79206
6.32135 79232
6.32503 79258
6.32788 79284
6.33402 79310
6.33852 79336
6.34055 79362
6.34422 79388
6.34707 79414
6.35321 79440
6.35442 79466
6.35727 79492
6.36259 79518
6.36544 79544
6.36746 79570
6.36949 79596
6.37399 79622
6.37684 79648
6.38298 79674
6.38665 79700
6.39033 79726
6.394 79752
6.3985 79778
6.40217 79804
6.40585 79830
6.41034 79856
6.41402 79882
6.41769 79908
6.42136 79934
6.42421 79960
6.42789 79986
6.43074 80012
6.43359 80038
6.43644 80064
6.43929 80090
6.44296 80116
6.44499 80142
6.44784 80168
6.45068 80194
6.45436 80220
6.52148 80246
6.52763 80272
6.53295 80298
6.54156 80324
6.54689 80350
6.55386 80376
6.56083 80402
6.56697 80428
6.57394 80454
6.58009 80480
6.58706 80506
6.59155 80532
6.59852 80558
6.60302 80584
6.60917 80610
6.61284 80636
6.61651 80662
6.62019 80687
6.62633 80712
6.63083 80737
6.63286 80762
6.63653 80787
6.6402 80812
6.64635 80837
6.64755 80862
6.65122 80887
6.65655 80912
6.6594 80937
6.66142 80962
6.66427 80987
6.66877 81012
6.67162 81037
6.67282 81062
6.67814 81087
6.68181 81112
6.68549 81137
6.68999 81162
6.69448 81187
6.69816 81212
6.70183 81237
6.70633 81262
6.71 81287
6.71368 81312
6.71735 81337
6.7202 81362
6.72387 81387
6.72672 81412
6.72957 81437
6.73242 81462
6.73527 81487
6.73977 81512
6.74097 81537
6.74464 81562
6.74749 81587
6.75117 81612
6.8117 81637
6.81702 81662
6.82234 81687
6.83013 81712
6.83545 81737
6.84242 81762
6.84939 81787
6.85636 81812
6.86333 81837
6.8703 81862
6.87727 81887
6.88259 81912
6.88956 81937
6.89488 81962
6.90103 81987
6.9047 82012
6.90838 82037
6.91205 82062
6.9182 82087
6.92269 82112
6.92472 82137
6.92922 82162
6.93289 82187
6.93904 82212
6.94106 82237
6.94474 82262
6.95006 82287
6.95291 82312
6.95493 82337
6.95861 82362
6.9631 82387
6.96595 82412
6.96798 82437
6.9733 82462
6.97697 82487
6.97818 82512
6.98103 82537
6.98552 82562
6.99002 82587
6.99369 82612
6.99737 82637
7.00187 82662
7.00554 82687
7.01004 82712
7.01371 82737
7.01656 82762
7.02023 82787
7.02308 82812
7.02593 82837
7.02878 82862
7.03163 82887
7.03613 82912
7.03733 82937
7.041 82962
7.04385 82987
7.04753 83012
7.10229 83037
7.10761 83062
7.11293 83087
7.1199 83112
7.1244 83137
7.13137 83162
7.13834 83187
7.14531 83212
7.1531 83237
7.16007 83262
7.16787 83287
7.17319 83312
7.18098 83337
7.1863 83362
7.19245 83387
7.19612 83412
7.20062 83437
7.20429 83462
7.21044 83487
7.21494 83512
7.21696 83537
7.22146 83562
7.22513 83587
7.23128 83612
7.23413 83637
7.2378 83662
7.24312 83687
7.24597 83712
7.24882 83737
7.2525 83762
7.25699 83787
7.25984 83812
7.26269 83837
7.26801 83862
7.27169 83887
7.27289 83911
7.27656 83935
7.27776 83959
7.28144 83983
7.28594 84007
7.28961 84031
7.29328 84055
7.29778 84079
7.30145 84103
7.30595 84127
7.30963 84151
7.31248 84175
7.31615 84199
7.319 84223
7.32267 84247
7.32552 84271
7.32837 84295
7.33287 84319
7.33407 84343
7.33774 84367
7.34059 84391
7.34427 84415
7.39408 84439
7.39858 84463
7.4039 84487
7.41005 84511
7.41455 84535
7.42069 84559
7.42766 84583
7.43463 84607
7.44243 84631
7.45022 84655
7.45801 84679
7.46416 84703
7.47195 84727
7.4781 84751
7.48424 84775
7.48792 84799
7.49241 84823
